SCHOOL_YEAR,AGENCY_TYPE,CHARTER_IND,CESA,COUNTY,DISTRICT_CODE,SCHOOL_CODE,GRADE_GROUP,DISTRICT_NAME,SCHOOL_NAME,COHORT,COMPLETION_STATUS,GROUP_BY,GROUP_BY_VALUE,TIMEFRAME,COHORT_COUNT,STUDENT_COUNT,grad_rate
2018-19,Public school,No,2.0,Walworth,6013,20.0,High School,Big Foot UHS,Big Foot High,2019,Completed - Regular High School Diploma,All Students,All Students,4-Year rate,109,107,0.981651376146789
2018-19,Public school,No,3.0,Lafayette,2240,20.0,High School,Black Hawk,Black Hawk High,2019,Completed - Regular High School Diploma,All Students,All Students,4-Year rate,30,30,1.0
2018-19,Public school,No,4.0,Jackson,476,40.0,High School,Black River Falls,Black River Falls High,2019,Completed - Regular High School Diploma,All Students,All Students,4-Year rate,121,108,0.8925619834710744
2018-19,Public school,No,4.0,Trempealeau,485,11.0,High School,Blair-Taylor,Blair-Taylor Middle/High,2019,Completed - Regular High School Diploma,All Students,All Students,4-Year rate,44,42,0.9545454545454546
2018-19,Public school,No,10.0,Chippewa,497,40.0,High School,Bloomer,Bloomer High,2019,Completed - Regular High School Diploma,All Students,All Students,4-Year rate,101,96,0.9504950495049505
2018-19,Public school,No,8.0,Shawano,602,40.0,High School,Bonduel,Bonduel High,2019,Completed - Regular High School Diploma,All Students,All Students,4-Year rate,66,61,0.9242424242424242
2018-19,Public school,No,3.0,Grant,609,40.0,High School,Boscobel Area,Boscobel High,2019,Completed - Regular High School Diploma,All Students,All Students,4-Year rate,68,60,0.8823529411764706
2018-19,Public school,No,11.0,Dunn,637,40.0,High School,Boyceville Community,Boyceville High,2019,Completed - Regular High School Diploma,All Students,All Students,4-Year rate,39,38,0.9743589743589743
2018-19,Public school,No,7.0,Calumet,658,40.0,High School,Brillion,Brillion High,2019,Completed - Regular High School Diploma,All Students,All Students,4-Year rate,85,84,0.9882352941176471
2018-19,Public school,No,2.0,Green,700,40.0,High School,Brodhead,Brodhead High,2019,Completed - Regular High School Diploma,All Students,All Students,4-Year rate,73,66,0.9041095890410958
2018-19,Public school,No,1.0,Milwaukee,721,40.0,High School,Brown Deer,Brown Deer Middle/High,2019,Completed - Regular High School Diploma,All Students,All Students,4-Year rate,130,124,0.9538461538461539
