SCHOOL_YEAR_x,AGENCY_TYPE,CHARTER_IND,CESA,COUNTY,DISTRICT_CODE,SCHOOL_CODE,GRADE_GROUP,DISTRICT_NAME,HIGH_SCHOOL_NAME,COHORT,COMPLETION_STATUS,GROUP_BY,GROUP_BY_VALUE,TIMEFRAME,COHORT_COUNT,STUDENT_COUNT,MIDDLE_SCHOOL_NAME,SCHOOL_YEAR_y,TEST_SUBJECT,Composite_Score,FORWARD_YEAR,EXPECTED_COHORT
2019-20,Public school,No,4.0,Trempealeau,2009,40.0,High School,Galesville-Ettrick-Trempealeau,Galesville-Ettrick-Trempealeau High,2020,Completed - Regular High School Diploma,Gender,Male,4-Year rate,54,47,Galesville-Ettrick-Trempealeau Middle,2015-16,ELA,2.25,2016.0,2020.0
2019-20,Public school,No,4.0,Trempealeau,2009,40.0,High School,Galesville-Ettrick-Trempealeau,Galesville-Ettrick-Trempealeau High,2020,Completed - Regular High School Diploma,Gender,Male,4-Year rate,54,47,Galesville-Ettrick-Trempealeau Middle,2015-16,Mathematics,2.2083333333333335,2016.0,2020.0
2019-20,Public school,No,4.0,Trempealeau,2009,40.0,High School,Galesville-Ettrick-Trempealeau,Galesville-Ettrick-Trempealeau High,2020,Completed - Regular High School Diploma,Gender,Male,4-Year rate,54,47,Galesville-Ettrick-Trempealeau Middle,2015-16,Science,2.875,2016.0,2020.0
2019-20,Public school,No,4.0,Trempealeau,2009,40.0,High School,Galesville-Ettrick-Trempealeau,Galesville-Ettrick-Trempealeau High,2020,Completed - Regular High School Diploma,Gender,Male,4-Year rate,54,47,Galesville-Ettrick-Trempealeau Middle,2015-16,Social Studies,2.8541666666666665,2016.0,2020.0
2019-20,Public school,No,4.0,La Crosse,2849,20.0,High School,La Crosse,Central High,2020,Completed - Regular High School Diploma,All Students,All Students,4-Year rate,247,217,La Crosse Design Institute,2015-16,ELA,1.9285714285714286,2016.0,2020.0
2019-20,Public school,No,4.0,La Crosse,2849,20.0,High School,La Crosse,Central High,2020,Completed - Regular High School Diploma,All Students,All Students,4-Year rate,247,217,La Crosse Design Institute,2015-16,Mathematics,1.8571428571428572,2016.0,2020.0
2019-20,Public school,No,4.0,La Crosse,2849,20.0,High School,La Crosse,Central High,2020,Completed - Regular High School Diploma,All Students,All Students,4-Year rate,247,217,La Crosse Design Institute,2015-16,Science,2.142857142857143,2016.0,2020.0
2019-20,Public school,No,4.0,La Crosse,2849,20.0,High School,La Crosse,Central High,2020,Completed - Regular High School Diploma,All Students,All Students,4-Year rate,247,217,La Crosse Design Institute,2015-16,Social Studies,1.7142857142857142,2016.0,2020.0
2019-20,Public school,No,4.0,La Crosse,2849,20.0,High School,La Crosse,Central High,2020,Completed - Regular High School Diploma,All Students,All Students,4-Year rate,247,217,Lincoln Middle,2015-16,ELA,2.3902439024390243,2016.0,2020.0
2019-20,Public school,No,4.0,La Crosse,2849,20.0,High School,La Crosse,Central High,2020,Completed - Regular High School Diploma,All Students,All Students,4-Year rate,247,217,Lincoln Middle,2015-16,Mathematics,2.268292682926829,2016.0,2020.0
2019-20,Public school,No,4.0,La Crosse,2849,20.0,High School,La Crosse,Central High,2020,Completed - Regular High School Diploma,All Students,All Students,4-Year rate,247,217,Lincoln Middle,2015-16,Science,2.682926829268293,2016.0,2020.0
2019-20,Public school,No,4.0,La Crosse,2849,20.0,High School,La Crosse,Central High,2020,Completed - Regular High School Diploma,All Students,All Students,4-Year rate,247,217,Lincoln Middle,2015-16,Social Studies,2.8902439024390243,2016.0,2020.0
2019-20,Public school,No,4.0,La Crosse,2849,20.0,High School,La Crosse,Central High,2020,Completed - Regular High School Diploma,All Students,All Students,4-Year rate,247,217,Logan Middle,2015-16,ELA,2.2522522522522523,2016.0,2020.0
2019-20,Public school,No,4.0,La Crosse,2849,20.0,High School,La Crosse,Central High,2020,Completed - Regular High School Diploma,All Students,All Students,4-Year rate,247,217,Logan Middle,2015-16,Mathematics,1.882882882882883,2016.0,2020.0
2019-20,Public school,No,4.0,La Crosse,2849,20.0,High School,La Crosse,Central High,2020,Completed - Regular High School Diploma,All Students,All Students,4-Year rate,247,217,Logan Middle,2015-16,Science,2.4144144144144146,2016.0,2020.0
2019-20,Public school,No,4.0,La Crosse,2849,20.0,High School,La Crosse,Central High,2020,Completed - Regular High School Diploma,All Students,All Students,4-Year rate,247,217,Logan Middle,2015-16,Social Studies,2.6396396396396398,2016.0,2020.0
2019-20,Public school,No,4.0,La Crosse,2849,20.0,High School,La Crosse,Central High,2020,Completed - Regular High School Diploma,All Students,All Students,4-Year rate,247,217,Longfellow Middle,2015-16,ELA,1.930817610062893,2016.0,2020.0
2019-20,Public school,No,4.0,La Crosse,2849,20.0,High School,La Crosse,Central High,2020,Completed - Regular High School Diploma,All Students,All Students,4-Year rate,247,217,Longfellow Middle,2015-16,Mathematics,1.9937106918238994,2016.0,2020.0
2019-20,Public school,No,4.0,La Crosse,2849,20.0,High School,La Crosse,Central High,2020,Completed - Regular High School Diploma,All Students,All Students,4-Year rate,247,217,Longfellow Middle,2015-16,Science,2.3333333333333335,2016.0,2020.0
2019-20,Public school,No,4.0,La Crosse,2849,20.0,High School,La Crosse,Central High,2020,Completed - Regular High School Diploma,All Students,All Students,4-Year rate,247,217,Longfellow Middle,2015-16,Social Studies,2.50625,2016.0,2020.0
2019-20,Public school,No,4.0,La Crosse,2849,20.0,High School,La Crosse,Central High,2020,Completed - Regular High School Diploma,All Students,All Students,4-Year rate,247,217,School of Technology and Arts II,2015-16,ELA,2.2222222222222223,2016.0,2020.0
2019-20,Public school,No,4.0,La Crosse,2849,20.0,High School,La Crosse,Central High,2020,Completed - Regular High School Diploma,All Students,All Students,4-Year rate,247,217,School of Technology and Arts II,2015-16,Mathematics,2.111111111111111,2016.0,2020.0
2019-20,Public school,No,4.0,La Crosse,2849,20.0,High School,La Crosse,Central High,2020,Completed - Regular High School Diploma,All Students,All Students,4-Year rate,247,217,School of Technology and Arts II,2015-16,Science,2.5555555555555554,2016.0,2020.0
2019-20,Public school,No,4.0,La Crosse,2849,20.0,High School,La Crosse,Central High,2020,Completed - Regular High School Diploma,All Students,All Students,4-Year rate,247,217,School of Technology and Arts II,2015-16,Social Studies,2.6666666666666665,2016.0,2020.0
2019-20,Public school,No,4.0,La Crosse,2849,20.0,High School,La Crosse,Central High,2020,Completed - Regular High School Diploma,Disability Status,SwD,4-Year rate,34,21,Lincoln Middle,2015-16,ELA,2.25,2016.0,2020.0
2019-20,Public school,No,4.0,La Crosse,2849,20.0,High School,La Crosse,Central High,2020,Completed - Regular High School Diploma,Disability Status,SwD,4-Year rate,34,21,Lincoln Middle,2015-16,Mathematics,2.0,2016.0,2020.0
2019-20,Public school,No,4.0,La Crosse,2849,20.0,High School,La Crosse,Central High,2020,Completed - Regular High School Diploma,Disability Status,SwD,4-Year rate,34,21,Lincoln Middle,2015-16,Science,2.5,2016.0,2020.0
